"filename", "language", "Groovy", "Properties", "JSON", "Python", "Java", "Batch", "comment", "blank", "total"
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\.gitattributes", "Properties", 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\.wpilib\wpilib_preferences.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\build.gradle", "Groovy", 47, 0, 0, 0, 0, 0, 27, 10, 84
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 76, 0, 25, 101
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\robotconfig.py", "Python", 0, 0, 0, 16, 0, 0, 34, 3, 53
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\settings.gradle", "Groovy", 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\BoxPair.java", "Java", 0, 0, 0, 0, 20, 0, 5, 6, 31
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Constants.java", "Java", 0, 0, 0, 0, 32, 0, 27, 12, 71
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\DropPoint.java", "Java", 0, 0, 0, 0, 147, 0, 13, 72, 232
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Globals.java", "Java", 0, 0, 0, 0, 70, 0, 0, 25, 95
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 9, 0, 16, 5, 30
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Node.java", "Java", 0, 0, 0, 0, 13, 0, 0, 5, 18
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\PathMap.java", "Java", 0, 0, 0, 0, 158, 0, 5, 34, 197
